model_family,model_variant,context,split,rag_mode,use_rag,seed,run_id,value,f1,gold_support,pred_support,gold_rate,pred_rate,source_file
deberta,microsoft/deberta-v3-base,doc,test,none,False,7.0,,Self-direction: thought,0.021621621621621623,171.0,14.0,0.011737250326034732,0.0009609444711373464,results/logs/deberta_doc_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,7.0,,Self-direction: action,0.1804757998359311,512.0,707.0,0.03514311208730867,0.048527695792435994,results/logs/deberta_doc_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,7.0,,Stimulation,0.25053995680345575,371.0,555.0,0.02546502848513968,0.03809458439151623,results/logs/deberta_doc_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,7.0,,Hedonism,0.2710027100271003,125.0,244.0,0.008579861349440594,0.016747889354108036,results/logs/deberta_doc_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,7.0,,Achievement,0.35499515033947626,911.0,1151.0,0.06253002951472304,0.07900336330564899,results/logs/deberta_doc_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,7.0,,Power: dominance,0.3686231486560614,631.0,1192.0,0.04331114009197611,0.0818175578282655,results/logs/deberta_doc_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,7.0,,Power: resources,0.40570846075433237,805.0,1157.0,0.05525430709039742,0.07941519665042213,results/logs/deberta_doc_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,7.0,,Face,0.2066115702479339,267.0,217.0,0.018326583842405108,0.01489463930262887,results/logs/deberta_doc_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,7.0,,Security: personal,0.3370233702337024,352.0,461.0,0.02416088956002471,0.031642528656736904,results/logs/deberta_doc_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,7.0,,Security: societal,0.4241898148148148,1151.0,2305.0,0.07900336330564899,0.15821264328368453,results/logs/deberta_doc_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,7.0,,Tradition,0.4031413612565445,196.0,186.0,0.01345322259592285,0.012766833687967603,results/logs/deberta_doc_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,7.0,,Conformity: rules,0.44065040650406506,911.0,1549.0,0.06253002951472304,0.10632164184226783,results/logs/deberta_doc_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,7.0,,Conformity: interpersonal,0.08290155440414508,195.0,191.0,0.013384583705127325,0.013110028141945226,results/logs/deberta_doc_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,7.0,,Humility,0.0,30.0,0.0,0.0020591667238657424,0.0,results/logs/deberta_doc_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,7.0,,Benevolence: caring,0.17635270541082163,324.0,175.0,0.022239000617750016,0.01201180588921683,results/logs/deberta_doc_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,7.0,,Benevolence: dependability,0.24583333333333332,288.0,192.0,0.019768000549111125,0.013178667032740751,results/logs/deberta_doc_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,7.0,,Universalism: concern,0.40986132511556245,735.0,1212.0,0.05044958473471069,0.083190335644176,results/logs/deberta_doc_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,7.0,,Universalism: nature,0.588235294117647,293.0,438.0,0.02011119500308875,0.03006383416843984,results/logs/deberta_doc_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,7.0,,Universalism: tolerance,0.2222222222222222,171.0,342.0,0.011737250326034732,0.023474500652069463,results/logs/deberta_doc_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,early,True,1701.0,,Self-direction: thought,0.08421052631578947,171.0,114.0,0.011737250326034732,0.007824833550689822,results/logs/deberta_doc_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,early,True,1701.0,,Self-direction: action,0.1708185053380783,512.0,1174.0,0.03514311208730867,0.08058205779394605,results/logs/deberta_doc_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,early,True,1701.0,,Stimulation,0.25827107790821774,371.0,566.0,0.02546502848513968,0.038849612190267,results/logs/deberta_doc_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,early,True,1701.0,,Hedonism,0.2191780821917808,125.0,167.0,0.008579861349440594,0.011462694762852632,results/logs/deberta_doc_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,early,True,1701.0,,Achievement,0.36187845303867405,911.0,1261.0,0.06253002951472304,0.08655364129315671,results/logs/deberta_doc_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,early,True,1701.0,,Power: dominance,0.3083969465648855,631.0,679.0,0.04331114009197611,0.0466058068501613,results/logs/deberta_doc_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,early,True,1701.0,,Power: resources,0.3884711779448622,805.0,791.0,0.05525430709039742,0.05429336261926007,results/logs/deberta_doc_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,early,True,1701.0,,Face,0.16205533596837945,267.0,239.0,0.018326583842405108,0.016404694900130416,results/logs/deberta_doc_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,early,True,1701.0,,Security: personal,0.34722222222222227,352.0,368.0,0.02416088956002471,0.025259111812753105,results/logs/deberta_doc_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,early,True,1701.0,,Security: societal,0.4290322580645161,1151.0,1329.0,0.07900336330564899,0.09122108586725239,results/logs/deberta_doc_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,early,True,1701.0,,Tradition,0.3746701846965699,196.0,183.0,0.01345322259592285,0.012560917015581027,results/logs/deberta_doc_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,early,True,1701.0,,Conformity: rules,0.41770401106500693,911.0,1258.0,0.06253002951472304,0.08634772462077013,results/logs/deberta_doc_rag_seed1701_deberta-v3-large_test_metrics.json
